oui,company
00507D,IFP
00507E,NEWER TECHNOLOGY
00507F,DrayTek Corp.
005080,Cisco Systems, Inc
005081,MURATA MACHINERY, LTD.
005082,FORESSON CORPORATION
005083,GILBARCO, INC.
005084,Quantum Corp.
005086,TELKOM SA, LTD.
005087,TERASAKI ELECTRIC CO., LTD.
005088,AMANO CORPORATION
005089,SAFETY MANAGEMENT SYSTEMS
00508B,Hewlett Packard
00508C,RSI SYSTEMS
00508D,ABIT COMPUTER CORPORATION
00508E,OPTIMATION, INC.
00508F,ASITA TECHNOLOGIES INTL LTD.
005090,DCTRI
005091,NETACCESS, INC.
005092,Rigaku Corporation Osaka Plant
005093,BOEING
005094,ARRIS Group, Inc.
005095,PERACOM NETWORKS
005096,SALIX TECHNOLOGIES, INC.
005097,MMC-EMBEDDED COMPUTERTECHNIK GmbH
005098,GLOBALOOP, LTD.
005099,3COM EUROPE LTD
00509A,TAG ELECTRONIC SYSTEMS
00509B,SWITCHCORE AB
00509C,BETA RESEARCH
00509D,THE INDUSTREE B.V.
00509E,Les Technologies SoftAcoustik Inc.
00509F,HORIZON COMPUTER
0050A0,DELTA COMPUTER SYSTEMS, INC.
0050A1,CARLO GAVAZZI, INC.
0050A2,Cisco Systems, Inc
0050A3,TransMedia Communications, Inc.
0050A4,IO TECH, INC.
0050A5,CAPITOL BUSINESS SYSTEMS, LTD.
0050A6,OPTRONICS
0050A7,Cisco Systems, Inc
0050A8,OpenCon Systems, Inc.
0050A9,MOLDAT WIRELESS TECHNOLGIES
0050AA,KONICA MINOLTA HOLDINGS, INC.
0050AB,NALTEC, Inc.
0050AC,MAPLE COMPUTER CORPORATION
0050AD,CommUnique Wireless Corp.
0050AE,FDK Co., Ltd
0050AF,INTERGON, INC.
0050B0,TECHNOLOGY ATLANTA CORPORATION
0050B1,GIDDINGS  LEWIS
0050B2,BRODEL GmbH
0050B3,VOICEBOARD CORPORATION
0050B4,SATCHWELL CONTROL SYSTEMS, LTD
0050B5,FICHET SECURITE ELECTRONIQUE
0050B6,GOOD WAY IND. CO., LTD.
0050B7,BOSER TECHNOLOGY CO., LTD.
0050B8,INOVA COMPUTERS GMBH  CO. KG
0050B9,XITRON TECHNOLOGIES, INC.
0050BA,D-Link Corporation
0050BB,CMS TECHNOLOGIES
0050BC,HAMMER STORAGE SOLUTIONS
0050BD,Cisco Systems, Inc
0050BE,FAST MULTIMEDIA AG
0050BF,Metalligence Technology Corp.
0050C0,GATAN, INC.
0050C1,GEMFLEX NETWORKS, LTD.
0050C2,IEEE Registration Authority
0050C2,:00:0 T.L.S. Corp.
0050C2,:00:1 JMBS Developpements
0050C2,:00:2 Integrated Automation Solutions
0050C2,:00:3 Microsoft
0050C2,:00:4 SCI Technology Inc.
0050C2,:00:5 GD California, Inc.
0050C2,:00:6 Project Management Enterprises, Inc.
0050C2,:00:7 Clive Green  Co. Ltd.
0050C2,:00:8 Portable Add-Ons
0050C2,:00:9 Datakinetics Ltd.
0050C2,:00:A Tharsys
0050C2,:00:B IO Limited
0050C2,:00:C Vbrick Systems Inc.
0050C2,:00:D Opus Telecom Inc.
0050C2,:00:E TTTech
0050C2,:00:F XLN-t
0050C2,:01:0 Moisture Systems
0050C2,:01:1 Bihl  Wiedemann GmbH
0050C2,:01:2 Floware System Solutions Ltd.
0050C2,:01:3 Sensys Technologies Inc.
0050C2,:01:4 Canal
0050C2,:01:5 LEROY AUTOMATION
0050C2,:01:6 DSP Design Ltd.
0050C2,:01:7 Hunter Technology Inc.
0050C2,:01:8 CAD-UL GmbH
0050C2,:01:9 Emtac Technology Corp.
0050C2,:01:A Skylake Talix
0050C2,:01:B Cross Products Ltd.
0050C2,:01:C Tadiran Scopus
0050C2,:01:D Princeton Gamma Tech
0050C2,:01:E CallTech International Limited
0050C2,:01:F KBS Industrieelektronik GmbH
0050C2,:02:0 Icon Research Ltd.
0050C2,:02:1 DRS Technologies Canada Co.
0050C2,:02:2 Ashling Microsystems Ltd.
0050C2,:02:3 Zabacom, Inc.
0050C2,:02:4 IPITEK
0050C2,:02:5 TERACOM TELEMATICA S.A
0050C2,:02:6 Abatis Systems Corp.
0050C2,:02:7 Industrial Control Links
0050C2,:02:8 The Frensch Corporation (Pty) Ltd.
0050C2,:02:9 Grossenbacher Systeme AG
0050C2,:02:A VersaLogic Corp.
0050C2,:02:B Nova Engineering Inc.
0050C2,:02:C Narrowband Telecommunications
0050C2,:02:D Innocor LTD
0050C2,:02:E Turtle Mountain Corp
0050C2,:02:F Sinetica Corp
0050C2,:03:0 Lockheed Martin Tactical Defense Systems Eagan
0050C2,:03:1 Eloquence Ltd
0050C2,:03:2 MotionIO
0050C2,:03:3 Doble Engineering
0050C2,:03:4 Ing. Buero W. Kanis GmbH
0050C2,:03:5 Alliant Techsystems, Inc.
0050C2,:03:6 Arcturus Networks Inc.
0050C2,:03:7 E.I.S.M.
0050C2,:03:8 Etheira Technologies
0050C2,:03:9 Apex Signal Corp
0050C2,:03:A PLLB Elettronica SPA
0050C2,:03:B VNR Electronique SA
0050C2,:03:C BrainBoxes Ltd
0050C2,:03:D ISDN Gateway Technology AG
0050C2,:03:E MSU UK Ltd
0050C2,:03:F Celotek Corp
0050C2,:04:0 MiSPO Co., Ltd.
0050C2,:04:1 Damler Chrysler Rail System (Signal) AB
0050C2,:04:2 B.E.A.R. Solutions (Australasia) Pty, Ltd
0050C2,:04:3 Curtis, Inc.
0050C2,:04:4 Private
0050C2,:04:5 Chase Manhattan Bank
0050C2,:04:6 Private
0050C2,:04:7 B. R. Electronics
0050C2,:04:8 Cybectec Inc.
0050C2,:04:9 Computer Concepts Corp
0050C2,:04:A Telecom Analysis Systems, LP
0050C2,:04:B Tecstar Demo Systems Division
0050C2,:04:C New Standard Engineering NV
0050C2,:04:E Industrial Electronic Engineers, Inc.
0050C2,:04:F Luma Corporation
0050C2,:05:0 Dataprobe, Inc.
0050C2,:05:1 JSR Ultrasonics
0050C2,:05:2 Mayo Foundation
0050C2,:05:4 Optionexist Limited
0050C2,:05:5 San Castle Technologies, Inc.
0050C2,:05:6 Base 2
0050C2,:05:7 Lite F GmBH
0050C2,:05:8 Vision Research, Inc.
0050C2,:05:9 Austco Marketing  Service (USA) ltd.
0050C2,:05:A Sonifex Ltd
0050C2,:05:B Radiometer Medical AS
0050C2,:05:C Nortel Networks PLC (UK)
0050C2,:05:D Ignitus Communications, LLC
0050C2,:05:E DIVA Systems
0050C2,:05:F Malden Electronics Ltd
0050C2,:06:0 Private
0050C2,:06:1 Simple Network Magic Corporation
0050C2,:06:2 Private
0050C2,:06:3 Ticketmaster Corp
0050C2,:06:4 Private
0050C2,:06:5 Clever Devices
0050C2,:06:6 Private
0050C2,:06:7 Riverlink Computers, Ltd.
0050C2,:06:8 Seabridge
0050C2,:06:9 EC Elettronica S.R.L.
0050C2,:06:A Unimark
0050C2,:06:B NCast Corporation
0050C2,:06:C WaveCom Electronics, Inc.
0050C2,:06:D Advanced Signal Corp.
0050C2,:06:E Avtron Manufacturing Inc.
0050C2,:06:F Digital Services Group
0050C2,:07:0 Katchall Technologies Group
0050C2,:07:1 NetVision Telecom
0050C2,:07:2 Neuberger Gebaeudeautomation GmbH  Co.
0050C2,:07:3 Alstom Signalling Ltd.
0050C2,:07:4 Edge Tech Co., Ltd.
0050C2,:07:5 ENTTEC Pty Ltd.
0050C2,:07:6 Litton Guidance  Control Systems
0050C2,:07:7 Saco Smartvision Inc.
0050C2,:07:8 Reselec AG
0050C2,:07:9 Flextel S.p.A
0050C2,:07:A RadioTel
0050C2,:07:B Trikon Technologies Ltd.
0050C2,:07:C PLLB elettronica spa
0050C2,:07:D Caspian Networks
0050C2,:07:E JL-teknik
0050C2,:07:F Dunti Corporation
0050C2,:08:0 AIM
0050C2,:08:1 Matuschek Messtechnik GmbH
0050C2,:08:2 GFI Chrono Time
0050C2,:08:3 ard sa
0050C2,:08:4 DIALOG4 System Engineering GmbH
0050C2,:08:5 Crossport Systems
0050C2,:08:6 Validyne Engineering Corp.
0050C2,:08:7 Monitor Business Machines Ltd.
0050C2,:08:8 TELINC Corporation
0050C2,:08:9 Fenwal Italia S.P.A.
0050C2,:08:A Rising Edge Technologies
0050C2,:08:B HYPERCHIP Inc.
0050C2,:08:C IP Unity
0050C2,:08:D Kylink Communications Corp.
0050C2,:08:E BSQUARE
0050C2,:08:F General Industries Argentina
0050C2,:09:0 Invensys Controls Network Systems
0050C2,:09:1 StorLogic, Inc.
0050C2,:09:2 DigitAll World Co., Ltd
0050C2,:09:3 KOREALINK
0050C2,:09:4 Analytical Spectral Devices, Inc.
0050C2,:09:5 SEATECH
0050C2,:09:6 Utronix Elektronikutreckling AB
0050C2,:09:7 IMV Invertomatic
0050C2,:09:8 EPEL Industrial, S.A.
0050C2,:09:9 Case Information  Communications
0050C2,:09:A NBO Development Center Sekusui Chemical Co. Ltd.
0050C2,:09:B Seffle Instrument AB
0050C2,:09:C RF Applications, Inc.
0050C2,:09:D ZELPOS
0050C2,:09:E Infinitec Networks, Inc.
0050C2,:09:F MetaWave Vedeo Systems
0050C2,:0A:0 CYNAPS
0050C2,:0A:1 Visable Genetics, Inc.
0050C2,:0A:2 Jäger Computergesteuerte Meßtechnik GmbH.
0050C2,:0A:3 BaSyTec GmbH
0050C2,:0A:4 Bounty Systems Pty Ltd.
0050C2,:0A:5 Mobiltex Data Ltd.
0050C2,:0A:6 Arula Systems, Inc.
0050C2,:0A:7 WaterCove Networks
0050C2,:0A:8 Kaveri Networks
0050C2,:0A:9 Radiant Networks Plc
0050C2,:0A:A Log-In, Inc.
0050C2,:0A:B Fastware.Net, LLC
0050C2,:0A:C Honeywell GNO
0050C2,:0A:D BMC Messsysteme GmbH
0050C2,:0A:E Zarak Systems Corp.
0050C2,:0A:F Latus Lightworks, Inc.
0050C2,:0B:0 LMI Technologies
0050C2,:0B:1 Beeline Networks, Inc.
0050C2,:0B:2 R F Micro Devices
0050C2,:0B:3 SMX Corporation
0050C2,:0B:4 Wavefly Corporation
0050C2,:0B:5 EXTREME COPPER,  INC.
0050C2,:0B:6 ApSecure Technologies (Canada), Inc.
0050C2,:0B:7 RYMIC
0050C2,:0B:8 LAN Controls, Inc.
0050C2,:0B:9 Helmut Mauell GmbH Werk Weida
0050C2,:0B:A Pro-Active
0050C2,:0B:B MAZet GmbH
0050C2,:0B:C Infolink Software AG
0050C2,:0B:D Tattile
0050C2,:0B:E Stella Electronics  Tagging
0050C2,:0B:F Private
0050C2,:0C:0 Imigix Ltd.
0050C2,:0C:1 Casabyte
0050C2,:0C:2 Alchemy Semiconductor, Inc.
0050C2,:0C:3 Tonbu, Inc.
0050C2,:0C:4 InterEpoch Technology,INC.
0050C2,:0C:5 SAIA Burgess Controls AG
0050C2,:0C:6 Advanced Medical Information Technologies, Inc.
0050C2,:0C:7 TransComm Technology System, Inc.
0050C2,:0C:8 The Trane Company
0050C2,:0C:9 DSS Networks, Inc.
0050C2,:0C:A J D Richards
0050C2,:0C:B STUDIEL
0050C2,:0C:C AlphaMedia Co., Ltd
0050C2,:0C:D LINET OY
0050C2,:0C:E RFL Electronics, Inc.
0050C2,:0C:F PCSC
0050C2,:0D:0 Telefrang AB
0050C2,:0D:1 Renaissance Networking, Inc.
0050C2,:0D:2 Real World Computing Partnership
0050C2,:0D:3 Lake Technology, Ltd.
0050C2,:0D:4 Palm, Inc.
0050C2,:0D:5 Zelax
0050C2,:0D:6 Inco Startec GmbH
0050C2,:0D:7 Summit Avionics, Inc.
0050C2,:0D:8 Charlottes Web Networks
0050C2,:0D:9 Loewe Opta GmbH
0050C2,:0D:A Motion Analysis Corp.
0050C2,:0D:B Cyberex
0050C2,:0D:C Elbit Systems Ltd.
0050C2,:0D:D Interisa Electronica, S.A.
0050C2,:0D:E Frederick Engineering
0050C2,:0D:F Innovation Institute, Inc.
0050C2,:0E:0 EMAC, Inc.
0050C2,:0E:1 Inspiration Technology PL
0050C2,:0E:2 Visual Circuits Corp.
0050C2,:0E:3 Lanex S.A.
0050C2,:0E:4 Collabo Tec. Co., Ltd.
0050C2,:0E:5 Clearwater Networks
0050C2,:0E:6 RouteFree, Inc.
0050C2,:0E:7 Century Geophysical Corp.
0050C2,:0E:8 Audio Design Associates, Inc.
0050C2,:0E:9 Smartmedia LLC
0050C2,:0E:A iReady Corporation
0050C2,:0E:B iREZ Technologies LLC
0050C2,:0E:C Keith  Koep GmbH
0050C2,:0E:D Valley Products Corporation
0050C2,:0E:E Industrial Indexing Systems, Inc.
0050C2,:0E:F Movaz Networks, Inc.
0050C2,:0F:0 VHB Technologies, Inc.
0050C2,:0F:1 Steelcase Inc.
0050C2,:0F:2 KMS Systems, Inc.
0050C2,:0F:3 Young Computer Co., Ltd.
0050C2,:0F:4 Sysnet Co., Ltd.
0050C2,:0F:5 Spectra Technologies Holding Co., Ltd.
0050C2,:0F:6 Carl Baasel Lasertechnik GmbH
0050C2,:0F:7 Foss NIRSystems, Inc.
0050C2,:0F:8 Tecnint HTE SRL
0050C2,:0F:9 Raven Industries
0050C2,:0F:A GE Transportation Systems
0050C2,:0F:B PIUSYS Co., Ltd.
0050C2,:0F:C Kimmon Manufacturing Co., Ltd.
0050C2,:0F:D Inducomp Corporation
0050C2,:0F:E Energy ICT
0050C2,:0F:F IPAXS Corporation
0050C2,:10:0 Corelatus A.B.
0050C2,:10:1 LAUD Electronic Design AS
0050C2,:10:2 Million Tech Development Ltd.
0050C2,:10:3 Green Hills Software, Inc.
0050C2,:10:4 Adescom Inc.
0050C2,:10:5 Lumentis AB
0050C2,:10:6 MATSUOKA
0050C2,:10:7 NewHer Systems
0050C2,:10:8 Balogh S.A.
0050C2,:10:9 ITK Dr. Kassen GmbH
0050C2,:10:A Quinx AG
0050C2,:10:B MarekMicro GmbH
0050C2,:10:C Photonic Bridges, Inc.
0050C2,:10:D Implementa GmbH
0050C2,:10:E Unipower AB
0050C2,:10:F Perceptics Corp.
0050C2,:11:0 QuesCom
0050C2,:11:1 Endusis Limited
0050C2,:11:2 Compuworx
0050C2,:11:3 Ace Electronics, Inc.
0050C2,:11:4 Quest Innovations
0050C2,:11:5 Vidco, Inc.
0050C2,:11:6 DSP Design, Ltd.
0050C2,:11:7 Wintegra Ltd.
0050C2,:11:8 Microbit 2.0 AB
0050C2,:11:9 Global Opto Communication Tech. Corp
0050C2,:11:A Teamaxess Ticketing GmbH
0050C2,:11:B Digital Vision AB
0050C2,:11:C Stonefly Networks
0050C2,:11:D Destiny Networks, Inc.
0050C2,:11:E Volvo Car Corporation
0050C2,:11:F CSS Industrie Computer GmbH
0050C2,:12:0 XStore, Inc.
0050C2,:12:1 COE Limited
0050C2,:12:2 Diva Systems
0050C2,:12:3 Seranoa Networks, Inc.
0050C2,:12:4 Tokai Soft Corporation
0050C2,:12:5 Tecwings GmBh
0050C2,:12:6 MaxLinear Hispania S.L.U.
0050C2,:12:7 TPA Traffic  Parking Automation BV
0050C2,:12:8 Pycon, Inc.
0050C2,:12:9 TTPCom Ltd.
0050C2,:12:A Symbolic Sound Corp.
0050C2,:12:B Dong A Eltek Co., Ltd.
0050C2,:12:C DELTA TAU DATA SYSTEMS, INC.
0050C2,:12:D Megisto Systems, Inc.
0050C2,:12:E RUNCOM
0050C2,:12:F Haag-Streit AG
0050C2,:13:0 U.S. Traffic Corporation
0050C2,:13:1 InBus Engineering, Inc.
0050C2,:13:2 Procon Electronics
0050C2,:13:3 ChipWrights, Inc.
0050C2,:13:4 DRS Photronics
0050C2,:13:5 ELAD SRL
0050C2,:13:6 Tensilica, Inc.
0050C2,:13:7 Uniwell Systems (UK) Ltd.
0050C2,:13:8 Delphin Technology AG
0050C2,:13:9 SR RESEARCH LTD
0050C2,:13:A Tex Computer SRL
0050C2,:13:B Vaisala Oyj
0050C2,:13:C NBG Industrial Automation B.V.
0050C2,:13:D Formula One Management Ltd.
0050C2,:13:E AVerMedia Systems, Inc.
0050C2,:13:F Sentito Networks
0050C2,:14:0 ITS, Inc.
0050C2,:14:1 Time Terminal Adductor Group AB
0050C2,:14:2 Instrumeter AS
0050C2,:14:3 AARTESYS AG
0050C2,:14:4 Phytec Messtechnik GmbH
0050C2,:14:5 ELC Lighting
0050C2,:14:6 APCON, Inc.
0050C2,:14:7 UniSUR
0050C2,:14:8 Alltec GmbH
0050C2,:14:9 Haag-Streit AG
0050C2,:14:A DYCEC, S.A.
0050C2,:14:B HECUBA Elektronik
0050C2,:14:C Optibase Ltd.
0050C2,:14:D wellink, Ltd.
0050C2,:14:E Corinex Global
0050C2,:14:F Telephonics Corp.
0050C2,:15:0 Torse
0050C2,:15:1 Redux Communications Ltd.
0050C2,:15:2 AirVast Technology Inc.
0050C2,:15:3 Advanced Devices SpA
0050C2,:15:4 Jostra AB
0050C2,:15:5 Enea Real Time AB
0050C2,:15:6 CommServ Solutions Inc.
0050C2,:15:7 nCore, Inc.
0050C2,:15:8 Communication Solutions, Inc.
0050C2,:15:9 Standard Comm. Corp.
0050C2,:15:A Plextek Limited
0050C2,:15:B Dune Networks
0050C2,:15:C Aoptix Technologies
0050C2,:15:D Cepheid
0050C2,:15:E Celite Systems, Inc.
0050C2,:15:F Pulsar GmbH
0050C2,:16:0 TTI - Telecom International Ltd.
0050C2,:16:1 JB Engineering Group S.L.
0050C2,:16:2 Teseda Corporation
0050C2,:16:3 Computerwise, Inc.
0050C2,:16:4 Acunia N.V.
0050C2,:16:5 IPCAST
0050C2,:16:6 Infineer Ltd.
0050C2,:16:7 Precision Filters, Inc.
0050C2,:16:8 ExtremeSpeed Inc.
0050C2,:16:9 Nordson Corp.
0050C2,:16:A Time Domain
0050C2,:16:B Masterclock, Inc.
0050C2,:16:C Brijing Embedor Embedded Internet Tech. Co. Ltd.
0050C2,:16:D Postec Data Systems Ltd.
0050C2,:16:E PMC
0050C2,:16:F Dickson Technologies
0050C2,:17:0 Taishodo Seiko Co., Ltd.
0050C2,:17:1 Quantronix, Inc.
0050C2,:17:2 SAET I.S. S.r.l.
0050C2,:17:3 DeMeTec GmbH
0050C2,:17:4 NP Technologies
0050C2,:17:5 Sei S.p.A.
0050C2,:17:6 Wavium AB
0050C2,:17:7 Unicoi Systems
0050C2,:17:8 Partner Voxstream AS
0050C2,:17:9 Verifiber LLC
0050C2,:17:A WOLF Advanced Technology.
0050C2,:17:B Broadstorm Telecom
0050C2,:17:C Jeffress Engineering Pty Ltd
0050C2,:17:D Cognex Corporation
0050C2,:17:E Binary Wave Technologies Inc.
0050C2,:17:F PDQ Manufacturing
0050C2,:18:0 Zultys Technologies
0050C2,:18:1 Task 84 Spa
0050C2,:18:2 wolf-inf-tec
0050C2,:18:3 Mixbaal S.A. de C.V.
0050C2,:18:4 H M Computing Limited
0050C2,:18:5 Optical Wireless Link Inc.
0050C2,:18:6 Pantec Engineering AG
0050C2,:18:7 Cyan Technology Ltd
0050C2,:18:8 dresden-elektronik
0050C2,:18:9 CC Systems AB
0050C2,:18:A Basler Electric Company
0050C2,:18:B Teradyne Inc.
0050C2,:18:C Technodrive srl
0050C2,:18:D CCII Systems (Pty) Ltd
0050C2,:18:E SPARR ELECTRONICS LTD
0050C2,:18:F MATSUI MFG CO.,LTD
0050C2,:19:0 Goerlitz AG
0050C2,:19:1 Partner Voxstream AS
0050C2,:19:2 Advanced Concepts, Inc.
0050C2,:19:3 LaserBit Communications Corp.
0050C2,:19:4 Cominfo, Inc.
0050C2,:19:5 Momentum Data Systems
0050C2,:19:6 Netsynt Spa
0050C2,:19:7 EPM Tecnologia e Equipamentos
0050C2,:19:8 PotsTek, Inc
0050C2,:19:9 Survalent Technology Corporation
0050C2,:19:A AZIO TECHNOLOGY CO.
0050C2,:19:B Wilcoxon Research, Inc.
0050C2,:19:C Artec Design
0050C2,:19:D ELECTREX S.R.L
0050C2,:19:E Paltronics, Inc.
0050C2,:19:F Fleetwood Electronics Ltd
0050C2,:1A:0 SCA Data Systems
0050C2,:1A:1 Portalplayer, Inc
0050C2,:1A:2 ABB Switzerland Inc
0050C2,:1A:3 Tidel Engineering, L.P.
0050C2,:1A:4 Protech Optronics Co. Ltd.
0050C2,:1A:5 NORCO
0050C2,:1A:6 RF Code
0050C2,:1A:7 Alpha Beta Technologies, Inc.
0050C2,:1A:8 ANOVA BROADBAND
0050C2,:1A:9 Axotec Technologies GmbH
0050C2,:1A:A BitBox Ltd
0050C2,:1A:B Streaming Networks
0050C2,:1A:C BeckmannEgle GmbH
0050C2,:1A:D Remia s.r.o.
0050C2,:1A:E Home Director, Inc
0050C2,:1A:F PESA Switching Systems, Inc.
0050C2,:1B:0 BLANKOM Antennentechnik GmbH
0050C2,:1B:1 Axes Technologies
0050C2,:1B:2 SIGOS Systemintegration GmbH
0050C2,:1B:3 DSP DESIGN
0050C2,:1B:4 DSP Group Inc.
0050C2,:1B:5 Thrane  Thrane AS
0050C2,:1B:6 DTS, Inc.
0050C2,:1B:7 MosChip USA
0050C2,:1B:8 Electronic Systems Development
0050C2,:1B:9 EmCom Technology Inc.
0050C2,:1B:A INTERZEAG AG
0050C2,:1B:B Email Metering
0050C2,:1B:C DINEC International
0050C2,:1B:D AIOI Systems Co., Ltd.
0050C2,:1B:E Sedia Electronics
0050C2,:1B:F International Test  Engineering Services Co.,Ltd.
0050C2,:1C:0 WillMonius Inc.
0050C2,:1C:1 InfinitiNetworks Inc.
0050C2,:1C:2 Weltronics Corp.
0050C2,:1C:3 TT electronics plc
0050C2,:1C:4 Palm Solutions Group
0050C2,:1C:5 Flander Oy
0050C2,:1C:6 Remco Italia Spa
0050C2,:1C:7 TWIN DEVELOPMENT S.A.
0050C2,:1C:8 Euphony technology CO., LTD.
0050C2,:1C:9 modas GmbH
0050C2,:1C:A EVER Sp. z o.o.
0050C2,:1C:B quantumBEAM Limited
0050C2,:1C:C WaveIP
0050C2,:1C:D INCAA Informatica Italia  srl
0050C2,:1C:E Datatek Applications, Inc.
0050C2,:1C:F LIFETIME MEMORY PRODUCTS, INC.
0050C2,:1D:0 Yazaki North America, Inc.
0050C2,:1D:1 Benchmark Electronics
0050C2,:1D:2 Shenyang Internet Technology Inc
0050C2,:1D:3 Synopsys
0050C2,:1D:4 Phase IV Engineering Inc.
0050C2,:1D:5 Redpoint Controls
0050C2,:1D:6 shanghai trend intelligent systems CO.,LTD
0050C2,:1D:7 Pleora Technologies Inc.
0050C2,:1D:8 Guardian Controls International Ltd
0050C2,:1D:9 EDC
0050C2,:1D:A GFI Chrono Time
0050C2,:1D:B Applied Systems Engineering, Inc.
0050C2,:1D:C Imarda New Zealand Limited
0050C2,:1D:D peiker acustic GmbH
0050C2,:1D:E ReliOn Inc.
0050C2,:1D:F Lulea University of Technology
0050C2,:1E:0 Cognex Corporation
0050C2,:1E:1 Automaatiotekniikka Seppo Saari Oy
0050C2,:1E:2 DIGITRONIC Automationsanlagen GmbH
0050C2,:1E:3 Bluesocket, Inc.
0050C2,:1E:4 Soronti, Inc.
0050C2,:1E:5 DORLET SAU
0050C2,:1E:6 United Tri-Tech Corporation
0050C2,:1E:7 Smith Meter, Inc.
0050C2,:1E:8 Metrotech
0050C2,:1E:9 Ranch Networks
0050C2,:1E:A DAVE SRL
0050C2,:1E:B Data Respons AS
0050C2,:1E:C COSMO co.,ltd.
0050C2,:1E:D EMKA-electronic AG
0050C2,:1E:E Perto Periféricos de Automação S.A.
0050C2,:1E:F M2 Technology Pty Ltd
0050C2,:1F:0 EXI Wireless Systems Inc.
0050C2,:1F:1 SKY Computers, Inc.
0050C2,:1F:2 Tattile srl
0050C2,:1F:3 Radionor Communications
0050C2,:1F:4 Covia, Inc
0050C2,:1F:5 Abest Communication Corp.
0050C2,:1F:6 BAE SYSTEMS Controls
0050C2,:1F:7 ARCCréations
0050C2,:1F:8 ULTRACKER TECHNOLOGY
0050C2,:1F:9 Fr. Sauter AG
0050C2,:1F:A SP Controls, Inc
0050C2,:1F:B Willowglen Systems Inc.
0050C2,:1F:C EDD Srl
0050C2,:1F:D SouthWing S.L.
0050C2,:1F:E Safetran Traffic Systems Inc.
0050C2,:1F:F Product Design Dept., Sohwa Corporation
0050C2,:20:0 Whittier Mailing Products, Inc.
0050C2,:20:1 OlympusNDT
0050C2,:20:2 Audio Riders Oy
0050C2,:20:3 Vocality International Ltd
0050C2,:20:4 Algodue Elettronica Srl
0050C2,:20:5 SystIng
0050C2,:20:6 Windmill Innovations
0050C2,:20:7 Solectron Ind.Com.Servs.Exportadora do Brasil Ltda.
0050C2,:20:8 nNovia, Inc.
0050C2,:20:9 LK Ltd
0050C2,:20:A Ferrari electronic AG
0050C2,:20:B Rafael
0050C2,:20:C Communication and Telemechanical Systems Company Limited
0050C2,:20:D Varisys Ltd
0050C2,:20:E PYRAMID Computer GmbH
0050C2,:20:F OMICRON electronics GmbH
0050C2,:21:0 Innovics Wireless Inc
0050C2,:21:1 Hochschule für Technik, Wirtschaft und Kultur Leipzig (FH)
0050C2,:21:2 4Links Limited
0050C2,:21:3 SysAware S.A.R.L.
0050C2,:21:4 Oshimi System Design Inc.
0050C2,:21:5 VoiceCom AG
0050C2,:21:6 Level Control Systems
0050C2,:21:7 Linn Products Ltd
0050C2,:21:8 Nansen S. A. - Instrumentos de Precisão
0050C2,:21:9 Aeroflex GmbH
0050C2,:21:A MST SYSTEMS LIMITED
0050C2,:21:B  GD Mission Systems
0050C2,:21:C Fracarro srl
0050C2,:21:D ESG Elektroniksystem u. Logistik GmbH
0050C2,:21:E Applied Technologies Associates
0050C2,:21:F Monitor Business Machines Ltd
0050C2,:22:0 Serveron Corporation
0050C2,:22:1 Getinge IT Solutions ApS
0050C2,:22:2 imo-elektronik GmbH
0050C2,:22:3 visicontrol GmbH
0050C2,:22:4 PANNOCOM Ltd.
0050C2,:22:5 nVent, Schroff GmbH
0050C2,:22:6 Ross Video Limited
0050C2,:22:7 Intelligent Photonics Control
0050C2,:22:8 Intelligent Media Technologies, Inc.
0050C2,:22:9 eko systems inc.
0050C2,:22:A Crescendo Networks
0050C2,:22:B Riegl Laser Measurement Systems GmbH
0050C2,:22:C Intrinsity
0050C2,:22:D asetek Inc.
0050C2,:22:E LORD INGENIERIE
0050C2,:22:F HTEC Limited
0050C2,:23:0 AutoTOOLS group Co. Ltd.
0050C2,:23:1 Legra Systems, Inc.
0050C2,:23:2 SIMET
0050C2,:23:3 EdenTree Technologies, Inc.
0050C2,:23:4 Silverback Systems
0050C2,:23:5 POLIMAR ELEKTRONIK LTD.
0050C2,:23:6 JLCooper Electronics
0050C2,:23:7 Tandata Systems Ltd
0050C2,:23:8 SchwerKopka GmbH
0050C2,:23:9 Stins Coman
0050C2,:23:A Chantry Networks
0050C2,:23:B Envara
0050C2,:23:C Wheatstone Corporation
0050C2,:23:D Gauging Systems Inc
0050C2,:23:E Kallastra Inc.
0050C2,:23:F Halliburton - NUMAR
0050C2,:24:0 Geoquip Ltd
0050C2,:24:1 Contronics Automacao Ltda
0050C2,:24:2 MDS SCIEX
0050C2,:24:3 RGB Spectrum
0050C2,:24:4 intec GmbH
0050C2,:24:5 Hauppauge Computer Works, Inc.
0050C2,:24:6 Hardmeier
0050C2,:24:7 Gradual Tecnologia Ltda.
0050C2,:24:8 Dixtal Biomedica Ind. Com. Ltda.
0050C2,:24:9 Bender GmbH  Co. KG
0050C2,:24:A CDS Rail
0050C2,:24:B Azimuth Systems, Inc.
0050C2,:24:C Supertel
0050C2,:24:D Mettler Toledo
0050C2,:24:E Scharff Weisberg Systems Integration Inc
0050C2,:24:F Macronet s.r.l.
0050C2,:25:0 ACD Elektronik GmbH
0050C2,:25:1 DGT Sp. z o.o.
0050C2,:25:2 ads-tec GmbH
0050C2,:25:3 DSM-Messtechnik GmbH
0050C2,:25:4 Thales Communications Ltd
0050C2,:25:5 STMicroelectronics SRL
